Date,Ticker,TimeBarStart,OpenBarTime,OpenBidPrice,OpenBidSize,OpenAskPrice,OpenAskSize,FirstTradeTime,FirstTradePrice,FirstTradeSize,HighBidTime,HighBidPrice,HighBidSize,HighAskTime,HighAskPrice,HighAskSize,HighTradeTime,HighTradePrice,HighTradeSize,LowBidTime,LowBidPrice,LowBidSize,LowAskTime,LowAskPrice,LowAskSize,LowTradeTime,LowTradePrice,LowTradeSize,CloseBarTime,CloseBidPrice,CloseBidSize,CloseAskPrice,CloseAskSize,LastTradeTime,LastTradePrice,LastTradeSize,MinSpread,MaxSpread,CancelSize,VolumeWeightPrice,NBBOQuoteCount,TradeAtBid,TradeAtBidMid,TradeAtMid,TradeAtMidAsk,TradeAtAsk,TradeAtCrossOrLocked,Volume,TotalTrades,FinraVolume,FinraVolumeWeightPrice,UptickVolume,DowntickVolume,RepeatUptickVolume,RepeatDowntickVolume,UnknownTickVolume,TradeToMidVolWeight,TradeToMidVolWeightRelative,TimeWeightBid,TimeWeightAsk
20200130,AMZN,04:13,04:13:00.000000000,1845.00,300,1855.00,300,04:13:25.397025839,1852.83,2,04:13:00.000000000,1845.00,300,04:13:00.000000000,1855.00,300,04:13:25.397025839,1852.83,2,04:13:00.000000000,1845.00,300,04:13:00.000000000,1855.00,300,04:13:25.397025839,1852.83,2,04:13:59.999999999,1845.00,300,1855.00,300,04:13:25.397025839,1852.83,2,10.00,10.00,,1852.83,4,0,0,0,2,0,0,2,1,0,,2,0,0,0,0,283.00,0.283,1845.00,1855.00
20200130,AMZN,04:14,04:14:00.000000000,1845.00,300,1855.00,300,,,,04:14:00.000000000,1845.00,300,04:14:00.000000000,1855.00,300,,,,04:14:00.000000000,1845.00,300,04:14:00.000000000,1855.00,300,,,,04:14:59.999999999,1845.00,300,1855.00,300,,,,10.00,10.00,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.00,1855.00
20200130,AMZN,04:15,04:15:00.000000000,1845.00,300,1855.00,300,,,,04:15:00.000000000,1845.00,300,04:15:29.256433244,1858.00,300,,,,04:15:00.000000000,1845.00,300,04:15:00.000000000,1855.00,300,,,,04:15:59.999999999,1845.00,300,1858.00,300,,,,10.00,13.00,,,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.00,1856.53718
20200130,AMZN,04:16,04:16:00.000000000,1845.00,300,1858.00,300,,,,04:16:15.093820694,1845.05,100,04:16:00.000000000,1858.00,300,,,,04:16:00.000000000,1845.00,300,04:16:00.000000000,1858.00,300,,,,04:16:59.999999999,1845.05,100,1858.00,300,,,,12.95,13.00,,,2,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.03742,1858.00
20200130,AMZN,04:17,04:17:00.000000000,1845.05,100,1858.00,300,04:17:59.403041611,1852.83,28,04:17:00.000000000,1845.05,100,04:17:00.000000000,1858.00,300,04:17:59.403041611,1852.83,28,04:17:00.000000000,1845.05,100,04:17:00.000000000,1858.00,300,04:17:59.403041611,1852.83,28,04:17:59.999999999,1845.05,100,1858.00,300,04:17:59.403041611,1852.83,28,12.95,12.95,,1852.83,0,0,0,0,28,0,0,28,1,0,,0,0,28,0,0,130.50,0.10077,1845.05,1858.00
20200130,AMZN,04:18,04:18:00.000000000,1845.05,100,1858.00,300,,,,04:18:00.000000000,1845.05,100,04:18:00.000000000,1858.00,300,,,,04:18:00.000000000,1845.05,100,04:18:00.000000000,1858.00,300,,,,04:18:59.999999999,1845.05,100,1858.00,300,,,,12.95,12.95,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.05,1858.00
20200130,AMZN,04:19,04:19:00.000000000,1845.05,100,1858.00,300,,,,04:19:00.000000000,1845.05,100,04:19:00.000000000,1858.00,300,,,,04:19:00.000000000,1845.05,100,04:19:00.000000000,1858.00,300,,,,04:19:59.999999999,1845.05,100,1858.00,300,,,,12.95,12.95,,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.05,1858.00
20200130,AMZN,04:20,04:20:00.000000000,1845.05,100,1858.00,300,,,,04:20:00.000000000,1845.05,100,04:20:00.000000000,1858.00,300,,,,04:20:00.000000000,1845.05,100,04:20:32.149831824,1857.00,100,,,,04:20:59.999999999,1845.05,100,1857.00,200,,,,11.95,12.95,,,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1845.05,1857.53583
20200130,AMZN,04:21,04:21:00.000000000,1845.05,100,1857.00,200,,,,04:21:16.277333853,1851.00,100,04:21:00.000000000,1857.00,200,,,,04:21:00.000000000,1845.05,100,04:21:00.000000000,1857.00,200,,,,04:21:59.999999999,1845.05,100,1857.00,200,,,,6.00,11.95,,,74,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,1846.53574,1857.00
20200130,AMZN,04:22,04:22:00.000000000,1845.05,100,1857.00,200,04:22:58.035831946,1854.44,3,04:22:00.000000000,1845.05,100,04:22:00.000000000,1857.00,200,04:22:58.035831946,1854.44,3,04:22:00.000000000,1845.05,100,04:22:00.000000000,1857.00,200,04:22:58.036183704,1854.00,1,04:22:59.999999999,1845.05,200,1857.00,100,04:22:58.036183704,1854.00,1,11.95,11.95,,1854.352,20,0,0,0,5,0,0,5,3,0,,3,1,1,0,0,332.70,0.27841,1845.05,1857.00
